GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
TGIF2,ENSG00000118707,36571894.0,36593950.0,20,(+),TGFB induced factor homeobox 2,,X,4,0,,,,,
MED25,ENSG00000104973,49818269.0,49840384.0,19,(+),mediator complex subunit 25,,X,4,0,,,,,
BICDL1,ENSG00000135127,119988862.0,120094496.0,12,(+),BICD family like cargo adaptor 1,,X,4,0,,,,,
DMAC2L,ENSG00000125375,50311516.0,50356756.0,14,(+),distal membrane arm assembly component 2 like,,X,4,0,,,,,
SIGLEC10,ENSG00000142512,51410020.0,51417858.0,19,(-),sialic acid binding Ig like lectin 10,,X,4,0,,,,,
TRIM37,ENSG00000108395,58982633.0,59106921.0,17,(-),tripartite motif containing 37,,X,4,0,,,,,
DPYSL2,ENSG00000092964,26514031.0,26658178.0,8,(+),dihydropyrimidinase like 2,,X,4,0,,,,,
BCLAF1,ENSG00000029363,136256627.0,136289852.0,6,(-),BCL2 associated transcription factor 1,,X,4,0,,,,,
SIPA1,ENSG00000213445,65638086.0,65650930.0,11,(+),signal-induced proliferation-associated 1,X,X,4; 18,1,,,,,
LINC01949,ENSG00000288569,87205336.0,87251656.0,5,(-),long intergenic non-protein coding RNA 1949,,X,4,0,,,,,
MATR3,ENSG00000015479,139273752.0,139332518.0,5,(+),matrin 3,,X,4,0,,,,,
CDCA7L,ENSG00000164649,21828570.0,21946219.0,7,(-),cell division cycle associated 7 like,X,X,4; 18,1,,,,,
OR10J3,ENSG00000196266,159313720.0,159314659.0,1,(-),olfactory receptor family 10 subfamily J member 3 (gene/pseudogene),,X,4,0,,,,,
DLGAP4,ENSG00000080845,36306302.0,36528637.0,20,(+),DLG associated protein 4,,X,4,0,,,,,
LYPLAL1,ENSG00000143353,219173821.0,219327124.0,1,(+),lysophospholipase like 1,,X,4,0,,,,,
MKNK2,ENSG00000099875,2037465.0,2061220.0,19,(-),MAPK interacting serine/threonine kinase 2,,X,4,0,,,,,
STYX,ENSG00000198252,52730043.0,52775008.0,14,(+),serine/threonine/tyrosine interacting protein,,X,4,0,,,,,
RBM14,ENSG00000239306,66616594.0,66629934.0,11,(+),RNA binding motif protein 14,,X,4,0,,,,,
PRKCA,ENSG00000154229,66302567.0,66810743.0,17,(+),protein kinase C alpha,,X,4,0,,,,,
CCT2,ENSG00000166226,69585423.0,69601580.0,12,(+),chaperonin containing TCP1 subunit 2,,X,4,0,,,,,
TMEM43,ENSG00000170876,14124998.0,14143681.0,3,(+),transmembrane protein 43,,X,4,0,,,,,
ZNF783,ENSG00000204946,149262022.0,149297303.0,7,(+),zinc finger protein 783,,X,4,0,,,,,
BRF1,ENSG00000185024,105209277.0,105315589.0,14,(-),BRF1 general transcription factor IIIB subunit,,X,4,0,,,,,
SELENBP1,ENSG00000143416,151364157.0,151372716.0,1,(-),selenium binding protein 1,,X,4,0,,,,,
RFLNB,ENSG00000183688,439978.0,445939.0,17,(-),refilin B,,X,4,0,,,,,
DMWD,ENSG00000185800,45782944.0,45792949.0,19,(-),"DM1 locus, WD repeat containing",,X,4,0,,,,,
PPFIA4,ENSG00000143847,203026470.0,203078740.0,1,(+),PPFI scaffold protein A4,,X,4,0,,,,,
FBXL17,ENSG00000145743,107859035.0,108382363.0,5,(-),F-box and leucine rich repeat protein 17,,X,4,0,,,,,
MRPL51,ENSG00000111639,6490204.0,6493856.0,12,(-),mitochondrial ribosomal protein L51,X,X,4; 18,1,,,,,
SLC25A46,ENSG00000164209,110738136.0,110765173.0,5,(+),solute carrier family 25 member 46,,X,4,0,,,,,
TRAPPC12,ENSG00000171853,3379669.0,3485094.0,2,(+),trafficking protein particle complex subunit 12,,X,4,0,,,,,
SUSD1,ENSG00000106868,112040777.0,112175535.0,9,(-),sushi domain containing 1,,X,4,0,,,,,
QTRT1,ENSG00000213339,10701430.0,10713747.0,19,(+),queuine tRNA-ribosyltransferase catalytic subunit 1,,X,4,0,,,,,
METTL25B,ENSG00000143303,156728442.0,156736960.0,1,(+),methyltransferase like 25B,,X,4,0,,,,,
TAGAP,ENSG00000164691,159034481.0,159095823.0,6,(-),T cell activation RhoGTPase activating protein,X,X,4; 18,1,,,,,
INTS8,ENSG00000164941,94813311.0,94881746.0,8,(+),integrator complex subunit 8,,X,4,0,,,,,
CLIP1,ENSG00000130779,122271432.0,122422778.0,12,(-),CAP-Gly domain containing linker protein 1,,X,4,0,,,,,
SPIDR,ENSG00000164808,47260568.0,47737022.0,8,(+),scaffold protein involved in DNA repair,,X,4,0,,,,,
SNRPN,ENSG00000128739,24823627.0,24978723.0,15,(+),small nuclear ribonucleoprotein polypeptide N,,X,4,0,,,,,
TBC1D22B,ENSG00000065491,37257713.0,37332970.0,6,(+),TBC1 domain family member 22B,,X,4,0,,,,,
SNORD3C,ENSG00000264940,19189665.0,19190245.0,17,(-),"small nucleolar RNA, C/D box 3C",,X,4,0,,,,,
TPCN1,ENSG00000186815,113221050.0,113301325.0,12,(+),two pore segment channel 1,,X,4,0,,,,,
LINC01278,ENSG00000235437,63222993.0,63561095.0,X,(-),long intergenic non-protein coding RNA 1278,,X,4,0,,,,,
GPR137B,ENSG00000077585,236142148.0,236253151.0,1,(+),G protein-coupled receptor 137B,,X,4,0,,,,,
OGG1,ENSG00000114026,9749938.0,9791067.0,3,(+),8-oxoguanine DNA glycosylase,,X,4,0,,,,,
IGFN1,ENSG00000163395,201190824.0,201228952.0,1,(+),immunoglobulin like and fibronectin type III domain containing 1,,X,4,0,,,,,
CATSPER2,ENSG00000166762,43628503.0,43668118.0,15,(-),cation channel sperm associated 2,,X,4,0,,,,,
RAP1GAP2,ENSG00000132359,2755629.0,3037741.0,17,(+),RAP1 GTPase activating protein 2,,X,4,0,,,,,
ZNF609,ENSG00000180357,64460549.0,64686068.0,15,(+),zinc finger protein 609,,X,4,0,,,,,
ESYT2,ENSG00000117868,158730992.0,158830253.0,7,(-),extended synaptotagmin 2,X,X,4; 18,1,,,,,
DHDDS,ENSG00000117682,26432273.0,26471322.0,1,(+),dehydrodolichyl diphosphate synthase subunit,,X,4,0,,,,,
IFNAR1,ENSG00000142166,33324387.0,33359864.0,21,(+),interferon alpha and beta receptor subunit 1,,X,4,0,,,,,
ODC1,ENSG00000115758,10435417.0,10450116.0,2,(-),ornithine decarboxylase 1,X,X,4; 18,1,,,,,
PITX1,ENSG00000069011,135027734.0,135034813.0,5,(-),paired like homeodomain 1,,X,4,0,,,,,
KLHL2,ENSG00000109466,165207470.0,165323157.0,4,(+),kelch like family member 2,,X,4,0,,,,,
HNRNPM,ENSG00000099783,8444767.0,8489118.0,19,(+),heterogeneous nuclear ribonucleoprotein M,X,X,4; 18,1,,,,,
ITM2C,ENSG00000135916,230864639.0,230879248.0,2,(+),integral membrane protein 2C,X,X,4; 18,1,,,,,
RPL23AP95,ENSG00000236848,103152007.0,103152325.0,7,(-),ribosomal protein L23a pseudogene 95,,X,4,0,,,,,
ZFP62,ENSG00000196670,180843577.0,180861285.0,5,(-),ZFP62 zinc finger protein,,X,4,0,,,,,
ARHGAP1,ENSG00000175220,46677075.0,46700977.0,11,(-),Rho GTPase activating protein 1,,X,4,0,,,,,
OR4E1,ENSG00000276240,21667886.0,21673818.0,14,(-),olfactory receptor family 4 subfamily E member 1,,X,4,0,,,,,
LINC02535,ENSG00000234155,85320314.0,85404911.0,6,(-),long intergenic non-protein coding RNA 2535,,X,4,0,,,,,
ZNF418,ENSG00000196724,57920526.0,57935413.0,19,(-),zinc finger protein 418,,X,4,0,,,,,
MTND6P4,ENSG00000249119,134924123.0,134924644.0,5,(+),MT-ND6 pseudogene 4,,X,4,0,,,,,
BLVRB,ENSG00000090013,40446758.0,40465826.0,19,(-),biliverdin reductase B,,X,4,0,,,,,
CD244,ENSG00000122223,160829075.0,160862904.0,1,(-),CD244 molecule,,X,4,0,,,,,
ZMYM2,ENSG00000121741,19958673.0,20091856.0,13,(+),zinc finger MYM-type containing 2,,X,4,0,,,,,
ANKRD36,ENSG00000135976,97113112.0,97264521.0,2,(+),ankyrin repeat domain 36,,X,4,0,,,,,
PALS1,ENSG00000072415,67240713.0,67336061.0,14,(+),"protein associated with LIN7 1, MAGUK p55 family member",,X,4,0,,,,,
MSTO1,ENSG00000125459,155563235.0,155616644.0,1,(+),misato mitochondrial distribution and morphology regulator 1,,X,4,0,,,,,
SMG7,ENSG00000116698,183471871.0,183598246.0,1,(+),SMG7 nonsense mediated mRNA decay factor,,X,4,0,,,,,
PRR14L,ENSG00000183530,31676256.0,31750207.0,22,(-),proline rich 14 like,,X,4,0,,,,,
NME1,ENSG00000239672,51152949.0,51162737.0,17,(+),NME/NM23 nucleoside diphosphate kinase 1,X,X,8; 18,1,,,,,
LTV1,ENSG00000135521,143843302.0,143864329.0,6,(+),LTV1 ribosome biogenesis factor,,X,8,0,,,,,
LINC02629,ENSG00000223470,33909238.0,33917804.0,10,(+),long intergenic non-protein coding RNA 2629,,X,8,0,,,,,
FAHD1,ENSG00000180185,1826967.0,1842053.0,16,(+),fumarylacetoacetate hydrolase domain containing 1,,X,8,0,,,,,
LINC02092,ENSG00000234721,73737854.0,73800966.0,17,(+),long intergenic non-protein coding RNA 2092,,X,6,0,,,,,
ZNF846,ENSG00000196605,9749546.0,9793180.0,19,(-),zinc finger protein 846,,X,6,0,,,,,
NUDT11,ENSG00000196368,51490011.0,51496860.0,X,(-),nudix hydrolase 11,,X,6,0,,,,,
CFAP46,ENSG00000171811,132806494.0,132942823.0,10,(-),cilia and flagella associated protein 46,,X,6,0,,,,,
LINC02239,ENSG00000248908,24835280.0,24840583.0,5,(-),long intergenic non-protein coding RNA 2239,,X,6,0,,,,,
CARF,ENSG00000138380,202912214.0,202988263.0,2,(+),calcium responsive transcription factor,,X,6,0,,,,,
CTBP2P6,ENSG00000213697,43522036.0,43523264.0,11,(+),CTBP2 pseudogene 6,,X,6,0,,,,,
MAFA,ENSG00000182759,143419182.0,143430732.0,8,(-),MAF bZIP transcription factor A,,X,6,0,,,,,
DYDC1,ENSG00000170788,80336105.0,80356760.0,10,(-),DPY30 domain containing 1,,X,6,0,,,,,
TRGV10,ENSG00000211694,38299810.0,38300280.0,7,(-),T cell receptor gamma variable 10 (non-functional),,X,6,0,,,,,
ANKRD18CP,ENSG00000159712,97156570.0,97221235.0,9,(-),"ankyrin repeat domain 18C, pseudogene",,X,6,0,,,,,
OR4D2,ENSG00000255713,58166982.0,58171411.0,17,(+),olfactory receptor family 4 subfamily D member 2,,X,6,0,,,,,
CASP1P1,ENSG00000255430,105122661.0,105123339.0,11,(-),caspase 1 pseudogene 1,,X,6,0,,,,,
BPIFB9P,ENSG00000125997,33347720.0,33354444.0,20,(+),"BPI fold containing family B member 9, pseudogene",,X,6,0,,,,,
FAN1,ENSG00000198690,30890559.0,30946209.0,15,(+),FANCD2 and FANCI associated nuclease 1,,X,6,0,,,,,
MIR6509,ENSG00000277138,135206994.0,135207078.0,7,(-),microRNA 6509,,X,6,0,,,,,
RBFOX2,ENSG00000100320,35738736.0,36028824.0,22,(-),RNA binding fox-1 homolog 2,,X,6,0,,,,,
PPIAP60,ENSG00000226961,11351627.0,11352118.0,2,(+),peptidylprolyl isomerase A pseudogene 60,,X,6,0,,,,,
TIGD4,ENSG00000169989,152767910.0,152779778.0,4,(-),tigger transposable element derived 4,,X,6,0,,,,,
SIAH3,ENSG00000215475,45777242.0,45851767.0,13,(-),siah E3 ubiquitin protein ligase family member 3,,X,6,0,,,,,
USP13,ENSG00000058056,179652730.0,179804368.0,3,(+),ubiquitin specific peptidase 13,,X,6,0,,,,,
NBPF1,ENSG00000219481,16562319.0,16613562.0,1,(-),NBPF member 1,,X,6,0,,,,,
MIR374A,ENSG00000199168,74287286.0,74287357.0,X,(-),microRNA 374a,,X,6,0,,,,,
PI4KAP1,ENSG00000274602,18534005.0,18548798.0,22,(-),phosphatidylinositol 4-kinase alpha pseudogene 1,,X,6,0,,,,,
DEFB109F,ENSG00000244050,8199599.0,8206710.0,12,(-),defensin beta 109F (pseudogene),,X,6,0,,,,,
NR0B2,ENSG00000131910,26911484.0,26914073.0,1,(-),nuclear receptor subfamily 0 group B member 2,,X,6,0,,,,,
ALG1L9P,ENSG00000254978,71800541.0,71804640.0,11,(-),"ALG1 like 9, pseudogene",,X,6,0,,,,,
LINC01450,ENSG00000232458,40964667.0,40979939.0,7,(-),long intergenic non-protein coding RNA 1450,,X,6,0,,,,,
SLAMF9,ENSG00000162723,159951492.0,159954237.0,1,(-),SLAM family member 9,,X,6,0,,,,,
TBC1D27P,ENSG00000128438,16923996.0,16932505.0,17,(-),"TBC1 domain family member 27, pseudogene",,X,6,0,,,,,
KLHL23,ENSG00000213160,169694435.0,169792697.0,2,(+),kelch like family member 23,,X,6,0,,,,,
CCAT2,ENSG00000280997,127400399.0,127402150.0,8,(+),colon cancer associated transcript 2,,X,6,0,,,,,
CLCA4,ENSG00000016602,86547076.0,86580758.0,1,(+),chloride channel accessory 4,,X,6,0,,,,,
MRPL30P1,ENSG00000276576,57029521.0,57029988.0,6,(+),mitochondrial ribosomal protein L30 pseudogene 1,,X,6,0,,,,,
MIR7847,ENSG00000284594,1880045.0,1880147.0,11,(+),microRNA 7847,,X,6,0,,,,,
CABP7,ENSG00000100314,29719998.0,29731833.0,22,(+),calcium binding protein 7,,X,6,0,,,,,
LINC02090,ENSG00000230969,16988329.0,17023501.0,17,(+),long intergenic non-protein coding RNA 2090,,X,6,0,,,,,
GSTA6P,ENSG00000223622,52805613.0,52813460.0,6,(-),"glutathione S-transferase alpha 6, pseudogene",,X,6,0,,,,,
TPMTP1,ENSG00000267156,47630112.0,47630848.0,18,(+),thiopurine S-methyltransferase pseudogene 1,,X,6,0,,,,,
PKLR,ENSG00000143627,155289265.0,155301443.0,1,(-),pyruvate kinase L/R,,X,6,0,,,,,
FAM236B,ENSG00000268994,72781858.0,72782798.0,X,(-),family with sequence similarity 236 member B,,X,6,0,,,,,
UNC13C,ENSG00000137766,53978201.0,54631744.0,15,(+),unc-13 homolog C,,X,6,0,,,,,
LINC02156,ENSG00000257906,47377638.0,47420192.0,12,(+),long intergenic non-protein coding RNA 2156,,X,6,0,,,,,
AK3P2,ENSG00000250115,143057060.0,143057816.0,8,(-),AK3 pseudogene 2,,X,6,0,,,,,
OR2X1P,ENSG00000224830,247938973.0,247939659.0,1,(+),olfactory receptor family 2 subfamily X member 1 pseudogene,,X,6,0,,,,,
KCNK17,ENSG00000124780,39298998.0,39314461.0,6,(-),potassium two pore domain channel subfamily K member 17,,X,6,0,,,,,
ARL14,ENSG00000179674,160677160.0,160678448.0,3,(+),ARF like GTPase 14,,X,6,0,,,,,
NPM1P35,ENSG00000255213,62330946.0,62331813.0,11,(+),nucleophosmin 1 pseudogene 35,,X,6,0,,,,,
SERBP1P5,ENSG00000249565,78180866.0,78182046.0,4,(-),SERPINE1 mRNA binding protein 1 pseudogene 5,,X,6,0,,,,,
RASSF6,ENSG00000169435,73571550.0,73620631.0,4,(-),Ras association domain family member 6,,X,6,0,,,,,
ZNF299P,ENSG00000219368,23090028.0,23091831.0,21,(-),"zinc finger protein 299, pseudogene",,X,6,0,,,,,
GSTA8P,ENSG00000220377,52687930.0,52703825.0,6,(-),"glutathione S-transferase alpha 8, pseudogene",,X,6,0,,,,,
HIGD1AP8,ENSG00000237303,11481383.0,11481656.0,12,(+),HIG1 hypoxia inducible domain family member 1A pseudogene 8,,X,6,0,,,,,
NPTX2,ENSG00000106236,98617254.0,98629870.0,7,(+),neuronal pentraxin 2,,X,6,0,,,,,
MIR186,ENSG00000207721,71067631.0,71067716.0,1,(-),microRNA 186,,X,6,0,,,,,
CTAGE1,ENSG00000212710,22413599.0,22417915.0,18,(-),cutaneous T cell lymphoma-associated antigen 1,,X,6,0,,,,,
SLC2A7,ENSG00000197241,9002973.0,9026423.0,1,(-),solute carrier family 2 member 7,,X,6,0,,,,,
THRAP3P3,ENSG00000235920,11820317.0,11821294.0,7,(-),THRAP3 pseudogene 3,,X,6,0,,,,,
LINC03008,ENSG00000229196,130141481.0,130143428.0,7,(+),long intergenic non-protein coding RNA 3008,,X,6,0,,,,,
ZNF254,ENSG00000213096,24033405.0,24179008.0,19,(+),zinc finger protein 254,,X,6,0,,,,,
NDUFB1P2,ENSG00000234523,222945725.0,222945900.0,1,(+),NADH:ubiquinone oxidoreductase subunit B1 pseudogene 2,,X,6,0,,,,,
ZNF37BP,ENSG00000234420,42519695.0,42521046.0,10,(-),"zinc finger protein 37B, pseudogene",,X,6,0,,,,,
ADHFE1,ENSG00000147576,66432459.0,66470469.0,8,(+),alcohol dehydrogenase iron containing 1,,X,6,0,,,,,
RGPD8,ENSG00000169629,112368369.0,112434488.0,2,(-),RANBP2 like and GRIP domain containing 8,,X,6,0,,,,,
ARHGEF35,ENSG00000213214,144182888.0,144195879.0,7,(-),Rho guanine nucleotide exchange factor 35,,X,6,0,,,,,
DIP2A,ENSG00000160305,46458841.0,46572746.0,21,(+),disco interacting protein 2 homolog A,,X,6,0,,,,,
CYP2C8,ENSG00000138115,95034359.0,95069603.0,10,(-),cytochrome P450 family 2 subfamily C member 8,,X,6,0,,,,,
SNRPCP6,ENSG00000254683,7143632.0,7143841.0,8,(-),small nuclear ribonucleoprotein polypeptide C pseudogene 6,,X,6,0,,,,,
BCL2L10,ENSG00000137875,52109263.0,52112775.0,15,(-),BCL2 like 10,,X,6,0,,,,,
MIR6747,ENSG00000276102,62567011.0,62567071.0,11,(-),microRNA 6747,,X,6,0,,,,,
TBC1D26,ENSG00000214946,15732247.0,15746162.0,17,(+),TBC1 domain family member 26,,X,6,0,,,,,
MLF1,ENSG00000178053,158571151.0,158607255.0,3,(+),myeloid leukemia factor 1,,X,6,0,,,,,
SNORA48B,ENSG00000212214,3532117.0,3532251.0,X,(-),"small nucleolar RNA, H/ACA box 48B",,X,6,0,,,,,
RRN3P1,ENSG00000248124,21797750.0,21820384.0,16,(-),RRN3 pseudogene 1,,X,6,0,,,,,
MIR6855,ENSG00000276124,129869605.0,129869671.0,9,(+),microRNA 6855,,X,6,0,,,,,
SEPTIN7P2,ENSG00000214765,45736787.0,45765812.0,7,(-),septin 7 pseudogene 2,,X,6,0,,,,,
LINC02236,ENSG00000251365,6765885.0,6833120.0,5,(+),long intergenic non-protein coding RNA 2236,,X,6,0,,,,,
NCALD,ENSG00000104490,101686542.0,102124907.0,8,(-),neurocalcin delta,,X,6,0,,,,,
MIR3684,ENSG00000265213,98997387.0,98997460.0,4,(+),microRNA 3684,,X,6,0,,,,,
MIR1183,ENSG00000221783,21471058.0,21471146.0,7,(+),microRNA 1183,,X,6,0,,,,,
PFN1P4,ENSG00000225080,148129497.0,148129898.0,1,(+),profilin 1 pseudogene 4,,X,6,0,,,,,
RASA4DP,ENSG00000233297,102681836.0,102690469.0,7,(-),"RAS p21 protein activator 4D, pseudogene",,X,6,0,,,,,
HMGN2P48,ENSG00000229979,153052150.0,153052413.0,X,(-),high mobility group nucleosomal binding domain 2 pseudogene 48,,X,6,0,,,,,
ATP6V1G3,ENSG00000151418,198523211.0,198540945.0,1,(-),ATPase H+ transporting V1 subunit G3,,X,6,0,,,,,
ANAPC1P1,ENSG00000233673,86871301.0,86912978.0,2,(+),ANAPC1 pseudogene 1,,X,6,0,,,,,
HCG4,ENSG00000176998,29791753.0,29792750.0,6,(-),HLA complex group 4,,X,6,0,,,,,
IGF1,ENSG00000017427,102395874.0,102481857.0,12,(-),insulin like growth factor 1,,X,6,0,,,,,
CR2,ENSG00000117322,207453024.0,207489895.0,1,(+),complement C3d receptor 2,X,,9,0,,,,,
SDC1,ENSG00000115884,20200796.0,20225512.0,2,(-),syndecan 1,X,,9,0,,,,,
CXCL3,ENSG00000163734,74036589.0,74038807.0,4,(-),C-X-C motif chemokine ligand 3,X,,10,0,,,,,
CSF3,ENSG00000108342,40015361.0,40017816.0,17,(+),colony stimulating factor 3,X,,10,0,,,,,
IL17B,ENSG00000127743,149371324.0,149404202.0,5,(-),interleukin 17B,X,,12,0,,,,,
CIAO2A,ENSG00000166797,64072113.0,64094262.0,15,(-),cytosolic iron-sulfur assembly component 2A,X,,13,0,,,,,
DPM1,ENSG00000000419,50932897.0,50959145.0,20,(-),"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",X,,13; 18,0,,,,,
GEMIN2,ENSG00000092208,39114285.0,39139037.0,14,(+),gem nuclear organelle associated protein 2,X,,13,0,,,,,
HAUS1,ENSG00000152240,46104326.0,46129589.0,18,(+),HAUS augmin like complex subunit 1,X,,13; 18,0,,,,,
PDCD10,ENSG00000114209,167677517.0,167735039.0,3,(-),programmed cell death 10,X,,13,0,,,,,
POLR2K,ENSG00000147669,100150610.0,100154005.0,8,(+),"RNA polymerase II, I and III subunit K",X,,13,0,,,,,
TRIAP1,ENSG00000170855,120443065.0,120446415.0,12,(-),TP53 regulated inhibitor of apoptosis 1,X,,13,0,,,,,
MMAA,ENSG00000151611,145599042.0,145660033.0,4,(+),metabolism of cobalamin associated A,X,,15,0,,,,,
DEFA1B,ENSG00000240247,6996766.0,6999206.0,8,(-),defensin alpha 1B,X,,15,0,,,,,
LRFN1,ENSG00000128011,39306566.0,39320966.0,19,(-),leucine rich repeat and fibronectin type III domain containing 1,X,,15,0,,,,,
BPI,ENSG00000101425,38260141.0,38337505.0,20,(+),bactericidal permeability increasing protein,X,,15,0,,,,,
CYSTM1,ENSG00000120306,140174924.0,140282212.0,5,(+),cysteine rich transmembrane module containing 1,X,,15,0,,,,,
ANKRD36C,ENSG00000174501,95836919.0,95991843.0,2,(-),ankyrin repeat domain 36C,X,,15,0,,,,,
ADGRG3,ENSG00000182885,57668106.0,57689378.0,16,(+),adhesion G protein-coupled receptor G3,X,,15,0,,,,,
PADI2,ENSG00000117115,17066761.0,17119459.0,1,(-),peptidyl arginine deiminase 2,X,,15,0,,,,,
TNFSF14,ENSG00000125735,6658085.0,6670621.0,19,(-),TNF superfamily member 14,X,,15,0,,,,,
NACA2,ENSG00000253506,61590421.0,61591219.0,17,(-),nascent polypeptide associated complex subunit alpha 2,X,,15,0,,,,,
FCAR,ENSG00000186431,54874227.0,54891420.0,19,(+),Fc alpha receptor,X,,15,0,,,,,
CEACAM8,ENSG00000124469,42580243.0,42595055.0,19,(-),CEA cell adhesion molecule 8,X,,15,0,,,,,
FRAT2,ENSG00000181274,97329255.0,97334729.0,10,(-),FRAT regulator of Wnt signaling pathway 2,X,,15,0,,,,,
PPIA,ENSG00000196262,44796620.0,44824564.0,7,(+),peptidylprolyl isomerase A,X,,16; 18,0,,,,,
IL9R,ENSG00000292373,57184171.0,57199537.0,Y,(+),interleukin 9 receptor,X,,16,0,,,,,
IL13RA1,ENSG00000131724,118727133.0,118805691.0,X,(+),interleukin 13 receptor subunit alpha 1,X,,16,0,,,,,
IL17RC,ENSG00000163702,9917040.0,9933630.0,3,(+),interleukin 17 receptor C,X,,16,0,,,,,
TGFBR2,ENSG00000163513,30606478.0,30694249.0,3,(+),transforming growth factor beta receptor 2,X,,16; 18,0,,,,,
APOD,ENSG00000189058,195568701.0,195584047.0,3,(-),apolipoprotein D,X,,16,0,,,,,
HOPX,ENSG00000171476,56647195.0,56681877.0,4,(-),HOP homeobox,X,,16; 18,0,,,,,
ZBTB32,ENSG00000011590,35704558.0,35717048.0,19,(+),zinc finger and BTB domain containing 32,X,,16,0,,,,,
ZBTB16,ENSG00000109906,114058335.0,114256765.0,11,(+),zinc finger and BTB domain containing 16,X,,16; 18,0,,,,,
S1PR1,ENSG00000170989,101235366.0,101243749.0,1,(+),sphingosine-1-phosphate receptor 1,X,,16; 18,0,,,,,
FAS,ENSG00000026103,88953813.0,89029605.0,10,(+),Fas cell surface death receptor,X,,16; 18,0,,,,,
ZNF683,ENSG00000176083,26361634.0,26374522.0,1,(-),zinc finger protein 683,X,,16; 18,0,,,,,
WDR19,ENSG00000157796,39182463.0,39285810.0,4,(+),WD repeat domain 19,X,,18,0,,,,,
KLF2,ENSG00000127528,16324613.0,16328685.0,19,(+),KLF transcription factor 2,X,,18,0,,,,,
CST7,ENSG00000077984,24949257.0,24961392.0,20,(+),cystatin F,X,,18,0,,,,,
DUSP2,ENSG00000158050,96143166.0,96145447.0,2,(-),dual specificity phosphatase 2,X,,18,0,,,,,
RPL3,ENSG00000100316,39312870.0,39320389.0,22,(-),ribosomal protein L3,X,,18,0,,,,,
PABPC1,ENSG00000070756,100685816.0,100722809.0,8,(-),poly(A) binding protein cytoplasmic 1,X,,18,0,,,,,
LYAR,ENSG00000145220,4267572.0,4290196.0,4,(-),Ly1 antibody reactive,X,,18,0,,,,,
RPS14,ENSG00000164587,150429756.0,150449952.0,5,(-),ribosomal protein S14,X,,18,0,,,,,
KLRG1,ENSG00000139187,8950044.0,9165627.0,12,(+),killer cell lectin like receptor G1,X,,18,0,,,,,
RPS2,ENSG00000140988,1961987.0,1965510.0,16,(-),ribosomal protein S2,X,,18,0,,,,,
RPL5,ENSG00000122406,92831990.0,92841924.0,1,(+),ribosomal protein L5,X,,18,0,,,,,
FCMR,ENSG00000162894,206903267.0,206923247.0,1,(-),Fc mu receptor,X,,18,0,,,,,
EEF1A1,ENSG00000156508,73489308.0,73525587.0,6,(-),eukaryotic translation elongation factor 1 alpha 1,X,,18,0,,,,,
SAMD3,ENSG00000164483,130144313.0,130365604.0,6,(-),sterile alpha motif domain containing 3,X,,18,0,,,,,
RPLP0,ENSG00000089157,120196698.0,120201235.0,12,(-),ribosomal protein lateral stalk subunit P0,X,,18,0,,,,,
CLDND1,ENSG00000080822,98496785.0,98523066.0,3,(-),claudin domain containing 1,X,,18,0,,,,,
H4C3,ENSG00000197061,26103933.0,26104337.0,6,(+),H4 clustered histone 3,X,,18,0,,,,,
RPL10A,ENSG00000198755,35468366.0,35470786.0,6,(+),ribosomal protein L10a,X,,18,0,,,,,
DNAJB1,ENSG00000132002,14513789.0,14560391.0,19,(-),DnaJ heat shock protein family (Hsp40) member B1,X,,18,0,,,,,
LEF1,ENSG00000138795,108045592.0,108169198.0,4,(-),lymphoid enhancer binding factor 1,X,,18,0,,,,,
RPSA,ENSG00000168028,39406709.0,39426255.0,3,(+),ribosomal protein SA,X,,18,0,,,,,
LYST,ENSG00000143669,235661041.0,235883724.0,1,(-),lysosomal trafficking regulator,X,,18,0,,,,,
EEF2,ENSG00000167658,3976044.0,3985479.0,19,(-),eukaryotic translation elongation factor 2,X,,18,0,,,,,
PTGER2,ENSG00000125384,52314226.0,52329822.0,14,(+),prostaglandin E receptor 2,X,,18,0,,,,,
RASA3,ENSG00000185989,113977783.0,114132775.0,13,(-),RAS p21 protein activator 3,X,,18,0,,,,,
KLRD1,ENSG00000134539,10226058.0,10329608.0,12,(+),killer cell lectin like receptor D1,X,,18,0,,,,,
YBX3,ENSG00000060138,10693264.0,10723689.0,12,(-),Y-box binding protein 3,X,,18,0,,,,,
GZMM,ENSG00000197540,544034.0,549924.0,19,(+),granzyme M,X,,18,0,,,,,
RPL4,ENSG00000174444,66498015.0,66524532.0,15,(-),ribosomal protein L4,X,,18,0,,,,,
SYNE2,ENSG00000054654,63761899.0,64228142.0,14,(+),spectrin repeat containing nuclear envelope protein 2,X,,18,0,,,,,
AUTS2,ENSG00000158321,69598296.0,70793506.0,7,(+),activator of transcription and developmental regulator AUTS2,X,,18,0,,,,,
EPB41,ENSG00000159023,28887073.0,29120052.0,1,(+),erythrocyte membrane protein band 4.1,X,,18,0,,,,,
ISG20,ENSG00000172183,88635605.0,88656483.0,15,(+),interferon stimulated exonuclease gene 20,X,,18,0,,,,,
